time,prey,predator,prey_noisy,predator_noisy
38.138138,5.545727,0.030869,5.774637,0.100000
38.238238,6.183540,0.031449,5.903464,0.100000
38.338338,6.894517,0.032257,6.675729,0.100000
38.438438,7.686953,0.033335,7.407048,0.100000
38.538539,8.570045,0.034738,8.431229,0.100000
38.638639,9.553977,0.036541,9.630826,0.210053
38.738739,10.650005,0.038838,10.741634,0.100000
38.838839,11.870534,0.041761,11.918827,0.100000
38.938939,13.229189,0.045487,12.982236,0.100000
39.039039,14.740855,0.050262,14.337047,0.100000
39.139139,16.421679,0.056432,16.431180,0.261712
39.239239,18.288983,0.064493,18.206517,0.100000
39.339339,20.361038,0.075172,20.441339,0.139396
39.439439,22.656576,0.089555,22.779278,0.100000
39.539540,25.193869,0.109300,25.218034,0.368065
39.639640,27.989014,0.137004,28.121885,0.220742
39.739740,31.052795,0.176841,31.092861,0.151483
39.839840,34.384957,0.235688,34.477612,0.315659
39.939940,37.963673,0.325182,37.840496,0.129291
40.040040,41.726116,0.465486,41.694720,0.629796
40.140140,45.532793,0.692166,45.567190,0.647149
40.240240,49.104201,1.068286,49.247630,1.039931
40.340340,51.918740,1.703310,51.849914,1.634995
40.440440,53.090145,2.773069,53.181245,2.692388
40.540541,51.364259,4.507266,51.317790,4.603789
40.640641,45.611844,7.061096,45.591297,7.096653
40.740741,36.059887,10.234910,36.204887,10.325469
40.840841,25.066360,13.350435,24.717972,13.349213
40.940941,15.594961,15.687285,15.368337,15.758593
41.041041,9.018762,17.005597,8.759676,16.947399
41.141141,5.035091,17.496974,4.627173,17.806791
41.241241,2.788079,17.462173,2.669518,17.244313
41.341341,1.556034,17.134951,1.687036,17.310156
41.441441,0.882816,16.659012,0.833018,16.849080
41.541542,0.511303,16.114317,0.545877,15.995912
41.641642,0.302851,15.543534,0.493247,15.853287
41.741742,0.183552,14.969054,0.415633,15.107375
41.841842,0.113821,14.402515,0.101736,14.537453
41.941942,0.072181,13.849877,0.308789,13.853770
42.042042,0.046783,13.314072,0.100000,13.283889
42.142142,0.030968,12.796408,0.100000,12.767311
42.242242,0.020921,12.297309,0.100000,12.351573
42.342342,0.014414,11.816714,0.100000,12.011406
42.442442,0.010119,11.354297,0.100000,11.379491
42.542543,0.007235,10.909590,0.100000,10.782946
42.642643,0.005264,10.482048,0.145731,10.596600
42.742743,0.003894,10.071095,0.304686,10.199087
42.842843,0.002928,9.676142,0.100000,9.767106
42.942943,0.002236,9.296602,0.100000,9.400187
43.043043,0.001733,8.931895,0.100000,8.894250
43.143143,0.001363,8.581459,0.100000,8.452378
43.243243,0.001086,8.244746,0.100000,8.124112
43.343343,0.000877,7.921225,0.100000,7.693981
43.443443,0.000718,7.610385,0.162985,7.643309
43.543544,0.000594,7.311733,0.100000,7.300138
43.643644,0.000498,7.024793,0.100000,6.963657
43.743744,0.000422,6.749107,0.100000,6.338430
43.843844,0.000362,6.484237,0.100000,6.310925
43.943944,0.000313,6.229758,0.100000,6.385496
44.044044,0.000274,5.985263,0.100000,5.892915
44.144144,0.000241,5.750362,0.100000,5.800466
44.244244,0.000215,5.524679,0.100000,5.331446
44.344344,0.000193,5.307851,0.231046,5.507756
44.444444,0.000175,5.099533,0.100000,5.079520
44.544545,0.000160,4.899389,0.100000,4.939690
44.644645,0.000148,4.707100,0.186699,5.030262
